ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
295,INDORE INDIA (INDIA),22.70N,75.80E,1882-9-01,771.0,935.976
296,INDORE INDIA (INDIA),22.70N,75.80E,1883-9-01,838.0,935.976
297,INDORE INDIA (INDIA),22.70N,75.80E,1884-9-01,889.0,935.976
298,CHHINDWARA INDIA (INDIA),22.10N,79.00E,1882-9-01,1501.1,1077.4271
299,CHHINDWARA INDIA (INDIA),22.10N,79.00E,1883-9-01,1141.7,1077.4271
300,CHHINDWARA INDIA (INDIA),22.10N,79.00E,1884-9-01,1276.1,1077.4271
301,SEONI INDIA (INDIA),22.10N,79.60E,1882-9-01,1260.1,1368.2895
302,SEONI INDIA (INDIA),22.10N,79.60E,1883-9-01,1760.3,1368.2895
303,SEONI INDIA (INDIA),22.10N,79.60E,1884-9-01,1766.8,1368.2895
304,CALCUTTA/ALIPORE INDIA (INDIA),22.50N,88.30E,1882-9-01,1664.3,1659.4405
305,CALCUTTA/ALIPORE INDIA (INDIA),22.50N,88.30E,1883-9-01,1333.8,1659.4405
306,CALCUTTA/ALIPORE INDIA (INDIA),22.50N,88.30E,1884-9-01,1913.2,1659.4405
307,PORBANDAR INDIA (INDIA),21.60N,69.60E,1882-9-01,574.6,553.9884
308,PORBANDAR INDIA (INDIA),21.60N,69.60E,1883-9-01,907.3,553.9884
309,PORBANDAR INDIA (INDIA),21.60N,69.60E,1884-9-01,758.9,553.9884
310,AMERLI/MANEKWAD INDIA (INDIA),21.60N,71.22E,1882-9-01,631.4,611.8668
311,AMERLI/MANEKWAD INDIA (INDIA),21.60N,71.22E,1883-9-01,1148.8,611.8668
312,AMERLI/MANEKWAD INDIA (INDIA),21.60N,71.22E,1884-9-01,1167.3,611.8668
